Speaker Name,Speaker Title,Speaker Description
John Hardy,"Designer, Educator","Jewelry designer John Hardy co-founded the extraordinary Green School in Bali, where kids get a holistic and green education. At the Green School, students learn in open-air classrooms surrounded by acres of gardens that they tend; they learn to build with bamboo; and meanwhile they’re being prepared for traditional British school exams. The centerpiece of the campus is the spiraling Heart of School, which may be called Asia’s largest bamboo building."
John Frame,"Sculptor, filmmaker, composer","John Frame has been making sculpture in the Southern California area of the United States since the early 1980s; his work has been exhibited extensively in the US as well as in Europe, Japan, and Taiwan. From the beginning of his career, he has undertaken an in-depth exploration of the human condition. Those who review Frame’s work frequently suggest that its appeal lies in his propensity to probe the deep questions of life without arriving at easy answers. One critic captures this tension thus: �In Frame’s work the meaning eludes us while the search for meaning captivates us.�"
John Mathew,"Academician, Author","Having completed doctorates in Ecology at Old Dominion University, Norfolk, Virginia (2003), and in the History of Science at Harvard University, Cambridge, Massachusetts (2011), John Mathew is currently lecturing a freshman seminar on Science, History and Theatre at the latter. He hails from Kerala and remains an Indian national although he has spent significant periods in Iraq, Jordan, Libya, the United States of America, France and England. He obtained his Bachelors, Masters, and M.Phil. degrees in Zoology at the Madras Christian College, Tambaram, Madras (now Chennai). He also holds a Masters in Medical Anthropology from Harvard and has benefited from many scholarships in his educational journey, including the French Governmental Bourse Chateaubriand, the Harvard Sheldon and Krupp, and the Harvard Academy fellowships."
Itay Talgam,Conductor,Itay Talgam worked as a conductor with some of the world’s best musical ensembles and orchestras and assisted great Maestri such as Leonard Bernstein and Claudio Abbado.
Harpal Singh,Healthcare Revolutionary,"The Mentor and Chairman Emeritus of one of India�s leading hospital chains, Fortis Healthcare, Harpal Singh is also the Founder Chairman of the Nanhi Chhaan Foundation, an initiative in support of the girl child and the environment. Harpal is also currently the Chairman of the Save the Children, India. He has chaired the second and third India Health Summit and delivered the prestigious �Friday Lecture� at the Royal Institute of Great Britain on Integrating Global Healthcare."
GBS Bindra,Innovator,"GBS Bindra, Global Director of Innovation at Logica, is responsible for driving Logica�s innovation and new business models. He has been working as an innovator for more than 20 years, leading design teams to create new products and services that leverage technology to improve business outcomes. He is also a committed community leader and a vocal advocate of children and women�s education in underprivileged societies."
Elora Hardy,Creative Director at Ibuku,"Having spent the first fourteen years of her life in Bali and the following fourteen in the United States, Elora left her position as the sole print designer at Donna Karan International in New York, returning to Bali to found Ibuku, an international design/build team providing fully functional homes and furniture made from natural substances allowing the occupants to live in an authentic relationship with nature. Her key realization was that with the right nurturing, Asia’s creative minds, skilled hands,growing global perspective and unique natural materials will provide the force for positive change in our global future."
Elliot Goldenthal,Composer,"Composer Elliot Goldenthal creates works for orchestra, theater, opera, ballet and film. Most recently he scored Julie Taymor’s film version of The Tempest, starring Helen Mirren. In 2003, he was honored with the Academy Award and a Golden Globe Award for the score to Taymor’s film Frida. Goldenthal was nominated for his third Grammy Award for co-producing the platinum soundtrack album for Across the Universewhich featured 35 Beatles songs, he also composed the original score for the film."
Dibakar Banerjee,Filmmaker,"Dibakar Banerjee is a National Film Award winning filmmaker, best known for films like Khosla ka Ghosla and Love, Sex aur Dhokha. The films went on to receive not just accolades for him but brought him in the list of new filmmakers who were bringing about a marked shift in Bollywood themes, which typically focuses on stories and characters from in and around Bombay."
Drumjam: Roberto Narain & Vasundhara Das,"Social musicians, partners of DRUMJAM","Drumjam, the pioneer of interactive rhythm-based activities in India, and the record holder for the largest drum circles in the country, has introduced over 450,000 people to the joys of group drumming."
Claire Kremen,Conservation biologist,"Claire Kremen is a Professor in the Department of Environmental Science, Policy and Management at University of California, Berkeley, and an Associate Conservationist with the Wildlife Conservation Society. She is an ecologist and conservation biologist whose work focuses on understanding and characterizing the relationship between biodiversity and ecosystem services, and utilizing this information to develop conservation and sustainable management plans, considering both protected areas and the working lands matrix around them."
Chris Meyer,"Entrepreneur, Author, Economist, Consultant",
Bedri Baykam,"Artist, Writer","One of the most internationally well-known Turkish artists, Bedri Baykam was born in 1957, in Ankara. His father Dr. Suphi Baykam was a famous deputy in the Turkish parliament and his mother Mutahhar Baykam an architect-engineer. He started to paint when he was only two years old, and has had several exhibitions since the age of six in Bern, Geneva, New York, Washington, London, Rome, Munich, Stockholm, etc. during his childhood years, when he was known as a child prodigy, (wunderkind) throughout the world. Baykam also won prestigious titles as a tennis player throughout the 70s at Turkish Championships."
Bhavik Gandhi,Endurance Athlete,"In 2007, Bhavik rowed single handed across the Atlantic, from Spain to the Caribbean island of Antigua, spending an106 days alone at sea in a 23 ft rowing boat. It was an epic 5000 km voyage which began with the battle to leave land resulting in 3 failed attempts and 2 years of preparation. It was a journey that sometimes became a living hell, stretching his mind to the breaking point as he deals with with gale force conditions, water leaks, a broken rudder, an Atlantic hurricane season, sharks, extreme isolation, sleep deprivation, muscle fatigue, a near collision with tankers, and finally a capsize."
Ayesha Khanna,"Technology, Innovation & Smart City Expert","Ayesha Khanna is Founder and Director of the Hybrid Reality Institute, a research and advisory think tank focused on the intersection of technology trends, data intelligence and geopolitics."
Arunachalam Muruganantham,"Innovator, Entrepreneur","Arunachalam Muruganantham of Jayaashree Industries designed, created, tested and implemented a sanitary napkin-making machine that operates on a small scale."
Anand Agarawala,Interface designer,Anand Agarawala is an entrepreneur and product designer.
Amish Tripathi,Author,"Described as the ‘Paulo Coelho of the East’ by Business World and a ‘People’s author like Jeffrey Archer’ by The Telegraph, Amish’s unique combination of crackling story-telling, religious symbolism and profound philosophies have made him an overnight publishing phenomenon."
Amar Sen,Shadowgrapher,"Amar Sen’s devotion to the arts has brought him fame for various specializations at different stages in his life; now the world knows him for a number of things including but not limited to singing, acting, magic, graphic arts, poetry and obviously his pet art, handShadowGraphy. The field of performance knows him better for his hardcore professionalism at whatever he does."
Alexander Asseily,"Founder, Jawbone & State","Alexander Asseily is founder and Executive Chairman of London startup State, a global opinion network. Alexander was founder CEO of Jawbone (Aliph) and continues to serve as Chairman."
Yann Vasnier,Perfumer,"Yann Vasnier was born in Brittany, France and from an early age he was drawn to appreciate the nuances of fragrances. He trained as a perfumer at ISIPCA, the prestigious Versailles perfumery school and he graduated Valedictorian in 1999. During his studies, Yann also worked as a trainee perfumer for Quest International in Paris. Upon graduating, he was offered a position as a junior perfumer with the Fine Fragrance team in Paris, trained by Francoise Caron. In 2001, Yann was the recipient of the International Young Perfumer Award. In July 2003, Yann joined the Quest New York as a perfumer and in 2007 joined Givaudan."
Will Travis,Creative Entrepreneur,"Will Travis is a leader of infectious passion, drive and tremendous insight, gained from leading creative agency ATTIK, which he helped expand into London, New York, San Francisco and Sydney, and most recently with the US division of the world’s largest agency Dentsu, where he held the post of CEO of Dentsu America. A long-term creative entrepreneur, with a hell-bent focus on creating unique brand experiences with the energy to deliver."
Vinita Bali,"Managing Director, Britannia Industries","Vinita Bali is the Managing Director of Britannia Industries. She is among 27 global leaders appointed by the United Nations to help improve maternal and child nutrition, an investment which some of the world’s leading economists believe would be the most valuable for human well-being and productivity."
Vikram Gandhi,Filmmaker,"Vikram Gandhi is the award-winning director and star of Kumaré, a film in which he impersonates a wise guru from the East and starts a following of real people in the West. Kumaré won the Audience Award at SXSW Film Festival in 2011 and was released theatrically in North America in 2012. Vikram lives in New York and is developing his next feature film"
V.V.S. Laxman,Indian cricketer,"V.V.S. Laxman, is a former reknowned Indian cricketer. Laxman represented Hyderabad in domestic cricket and has played for Lancashire in English county cricket. He was the captain of the Deccan Chargers team in the Indian Premier League in its first year. In 2011, Laxman was awarded the Padma Shri award, India’s fourth highest civilian award from the Government of India. He announced his retirement from international cricket in August 2012"
Robert Manning,"Chief Engineer, Mars Science Laboratory","Rob Manning is the Chief Engineer for the Mars Science Laboratory (MSL) Project that successfully landed Curiosity Rover on Mars on August 5, 2012. Rob was responsible for ensuring that the design, the test program and the team working together would result in a mission that would work."
Nitin Ron,"Neonatologist, mountaineer","I am a neonatologist (baby doctor!) and love high altitude trekking and mountaineering. I am an associate professor of pediatrics at New York Methodist Hospital, and love to use innovative methods to teach medical students. I am constantly humbled and amazed by what love and compassion can do to heal little premature and sick babies! I have also been leading a research project in the Himalayas, including the Mt. Everest region, involving ultrasound of the eye(optic nerve) and the body, to predict mountain sickness, and have also looked at the effect of meditation in acclimatizing the body to high altitude. I constantly encourage my students to break the rules, rearrange the paradigms with which they run their lives, and therefore to re-invent themselves every moment! I also volunteer as an art guide at the Rubin Museum of Himalayan Art in New York City, and this is a reminder to me that medicine is so much of an art as well as a science!"
Malavika Sarukkai,Classical Dancer Choreographer,"Malavika Sarukkai is a dancer and choreographer. Her dance is described as intense, extraordinary and luminous and helps distinguish her form other dancers. She is acclaimed globally for her creative dance choreographies, which transport the viewer to the heart beat of dance, taking dance beyond specific geographies."
Lynda Barry,Cartoonist,"Lynda Barry has worked as a painter, cartoonist, writer, illustrator, playwright, editor, commentator and teacher and found they are very much alike."
James Stark,"Co-director, Regenerative Design Institute","James Stark, M.A., F.E.S., is the co-director of the Regenerative Design Institute (RDI). He co-founded and co-directs the Ecology of Leadership program which creates powerful circles of change-makers by rooting them in deep nature connection, inner transformation, and leadership skill development in order to revolutionize their life and service in the world. James is also a senior trainer in the 3-year, full-time Regenerative Design and Nature Awareness training program, preparing young global community leaders for the “Great Turning” of our era."
Jaaved Jaaferi,"Actor, Comedian","Jaaved Jaaferi is an Indian actor, voice artist, dancer, comedian, impressionist known for his work in several Bollywood films and Indian television shows. Jaaferi has distinguished himself as one of India’s most versatile and popular entertainers with his flamboyance, quirky sense of humor and his incredible dancing ability. The son of legendary actor/ comedian Jagdeep, Jaaferi seemed destined for a career in showbiz."
Gurcharan Das,"Author, Commentator, Public Intellectual","Gurcharan Das is an Indian author, commentator and public intellectual. He is the author of The Difficulty of Being Good: On the subtle art of dharma which interrogates the epic, Mahabharata and the international bestseller, India Unbound, a narrative account of India from Independence to the global information age."
Francesca Rosella,"Chief Creative Director, CuteCircuit","Francesca Rosella is the Co-Founder and Chief Creative Director of CuteCircuit, a fashion company based in London pioneer in the field of Wearable Technology. Founded in 2004, CuteCircuit has introduced many ground breaking ideas to the world of fashion by creating new beauty and functionality through the use of smart textiles and micro-electronics. Working alongside Ryan Genz, CEO of CuteCircuit, Francesca has built the first fashion company that creates haute couture with LED illumination worn by international stars on the red carpet and that has been also the first to sell illuminated fashion using LEDs in leading stores like Selfridges in London."
Dianna Cohen,"Visual Artist. Creative Advocacy Director, PPC","Los Angeles-based multi-media visual artist, painter and curator Dianna Cohen is best known for her two-dimensional and three-dimensional works using recycled plastic bags – sewn together – ranging from small hanging pieces to room-sized installations. Since graduating from UCLA she has shown work in solo and group exhibitions at galleries and museums in the USA, Europe, Australia, and Africa. Dianna Cohen is Creative Director & co-founder of Plastic Pollution Coalition, a global alliance of individuals, organizations and businesses working together to stop plastic pollution and its toxic impacts on humans, animals and the environment."
Alan Wagstaff,"Alan Wagstaff Learning Manager, Green School","Alan Wagstaff, currently Learning Manager and concept designer of Green School, Bali, is a director and co-founder of RAW Education Ltd. Alan has had forty years experience in the education sector as a primary and secondary school teacher, a special education teacher, a school principal, and for the last decade, as an independent consultant, mentor and school developer."
Neeru Khosla,"Co-Founder and Exec. Dir., CK-12 Foundation","Neeru Khosla is currently the Co-Founder and Executive Director of CK-12 Foundation, a non-profit organization, which aims to provide K-12 learning materials that is customizable, aligned to requirements, and free for all, in the US and worldwide. Mrs. Khosla currently serves as a member on several advisory boards, including The Nueva School’s Board of Trustees, the Board of Directors for High Tech High School’s Graduate School of Education, the Advisory Board for the Wikimedia Foundation, the Advisory Board for DonorsChoose, the Advisory Board for Stanford University’s School of Education, the Advisory Board for IDEO.org, and is one of the founding members of the K-12 Initiative of the Design School (Hasso Plattner Institute of Design) at Stanford University."
Matt Groening,The Simpsons Creator,"Matt Groening created the longest-running comedy in television history, The Simpsons. It exploded into a cultural phenomenon in 1990 and has remained one of the most groundbreaking and innovative entertainment franchises, recognizable throughout the world. He followed it with his creation of the hit sci-fi series FUTURAMA, currently one of the top rated shows on Comedy Central. As a cartoonist, Groening began his Life in Hell weekly comic strip series in the 1980’s which continues to this day in newspapers nationwide."
Ritika Sood,Social Enterprise Professional and an Explorer,"Ritika holds an MBA in Rural Management from School of Rural Management, KIIT University- Bhubaneswar and has extensive professional experience working with a number of bilateral, multilateral development think tanks & organizations. In addition to her non-governmental experience, she’s also worked with the Govt. of Thailand in developing and understanding replicable rural development strategies. She’s extremely passionate about human capital development in the social enterprise space that has such a huge potential for solving world problems.
As an explorer Ritika immerses herself in new experiences like travelling to offbeat places and doing community work with the locals. She’s also been into theatre arts as a director and actor for several years. Going forward she wants to work on influencing policy for Human resource development in development sector. She’s also the brain behind Social Rockers and Hawkers a bi-monthly social meet up for accelerating the social enterprise ecosystem development in Hyderabad"
Dinesh Sonak,"Interdisciplinary Entrepreneur, India Ambassador, THNK","Dinesh Sonak is an entrepreneur at the intersection of creativity, commerce and culture, specialized in design-thinking, concept development and innovation ventures. He is currently active in product strategy and design (frog), creative leadership & social innovation (THNK, the Amsterdam School of Creative Leadership) and waste design for India’s public spaces (Saaf India Foundation). He is the founder of Banyan Tree, an agency leading the strategic and creative direction for various concepts and projects, including product and experience design in food and beverage, electric mobility, contemporary art and sports fashion. His previous experience includes assignments for Heineken in Central Africa, Bertolli in Western Europe and IMD Business School in Switzerland. Dinesh has studied international economics, strategic management and creative arts. He enjoys tennis, jazz, street photography and the books of PG Wodehouse"
Tatjana Dzambazova,Technology Whisperer,"Tatjana Dzambazova is a trained architect with 12 years of experience in architecture and design in Vienna and London. Always fascinated by the impact that technology has on our lives, she decided to continue her career in the digital design technology world, where, working for Autodesk for the last 13 years , she has been passionately whispering and teaching technology, leading product development of exciting new digital design tools and authoring books."
Vasundhara Das,"Singer, Actress","Vasundhara Das is a singer, songwriter, composer and actress. She has starred in several films in various languages, and has worked extensively as a playback singer in Bollywood, as well as in South Indian regional language films. Vasundhara is also a qualified drum circle facilitator, having trained with Arthur Hull. She spearheads Drumjam’s community and children’s programmes."
Lavanya Sankaran,Author,"Lavanya Sankaran is the author of the celebrated short story collection The Red Carpet, which spent two years on the best-seller lists and collected praise world-wide. Her debut novel The Hope Factory, just released, has been selected by Amazon UK as a Top Pick. Compared to Charles Dickens by the British press, Lavanya’s writing has own several awards, including Barnes and Noble Discover New Writers, and Poets and Writers’ Best First Fiction Award."
Joichi Ito,"Director, MIT Media Lab","Joichi Ito is the Director of the MIT Media Lab. He is the Chair of Creative Commons, on the Board of The New York Times Company, on the Board of the MacArthur Foundation, on the Board of Trustees of The Knight Foundation, and co-founder and board member of Digital Garage an Internet company in Japan. He is on board of a number of non-profit organizations including The Mozilla Foundation and WITNESS. He is a member of the IT Strategic Headquarters of the Japanese Cabinet. He has created numerous Internet companies including PSINet Japan, Digital Garage and Infoseek Japan and was an early stage investor in Twitter, Six Apart, Wikia, Flickr, Last.fm, Kongregate, Fotonauts/Fotopedia, Kickstarter, Path, Pinwheel and other Internet companies."
Tina Sharma,Wellness Consultant,"There are zillions of benefits in being human. Our life is complex, our problems are complex, the world around us is complex. So Simplify. It is beautiful to be Simple. Simplification leads us to being human."
Sri. Tatwamasi Dixit,Vedic Business Consultant,"Sri Tatwamasi Dixit, a successful Family Business Advisor by profession, specialises in working with business owning families. He founded FABRIC (Family Business Research International Centre), a boutique consulting firm, offering family business advisory services and coaching to Family Business Entrepreneurs."
